Angka Deforestasi Netto Indonesia Di Dalam Dan Di Luar Kawasan Hutan Tahun 2013-2022  (Ha/Th),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provinsi, 2013-2014 ,,, 2014-2015 ,,, 2015-2016 ,,, 2016-2017 ,,, 2017-2018 ,,, 2018-2019 ,,, 2019-2020 ,,, 2020-2021 ,,, 2021-2022 ,,
Nusa Tenggara Barat,-,-,-,"8,896.4",186.8,"9,083.2","12,561.9","9,800.5","22,362.4","-8,915.4","-5,887.2","-14,802.7","7,065.6","3,170.7","10,236.4","12,382.4","3,589.4","15,971.9","10,571.9","2,436.0","13,007.9","2,339.0",784.0,"3,123.0","4,830.4","1,580.8","6,411.2"
Nusa Tenggara Timur,138.9,-30.0,108.8,"2,962.7","10,969.3","13,932.0",-,-,-,-,-,-,"6,037.1","11,652.9","17,689.9","1,279.2","2,233.6","3,512.8","2,579.3","5,710.2","8,289.5",812.0,589.0,"1,401.0","1,656.0","2,288.8","3,944.8"
Kalimantan Barat,"7,872.8","22,046.8","29,919.6","5,754.0","34,723.2","40,477.2","60,146.3","64,809.7","124,956.0","13,274.8","6,022.1","19,296.9","13,157.7","29,133.7","42,291.4","15,109.1","8,985.9","24,095.0","6,546.6","9,787.9","16,334.5","3,305.0","6,790.0","10,095.0","5,128.9","2,716.8","7,845.7"
Kalimantan Tengah,"48,370.7","10,464.9","58,835.6","163,240.0","23,402.0","186,642.0","88,816.2","9,313.0","98,129.2","97,817.0","18,965.8","116,782.8","20,234.7","7,005.6","27,240.3","17,974.3","8,265.8","26,240.2","3,206.4","3,705.9","6,912.3","15,754.0","5,782.0","21,536.0","9,838.2","1,726.2","11,564.4"
Kalimantan Selatan,"5,191.9","1,746.6","6,938.5","34,631.5","12,072.3","46,703.8","26,180.6","6,944.6","33,125.1",661.3,"-1,343.1",-681.8,"5,396.0","8,972.6","14,368.6","6,309.9","1,789.4","8,099.3","5,247.8","2,299.4","7,547.2","1,574.0",455.0,"2,029.0",636.4,-501.5,134.9
Kalimantan Timur dan Kalimantan Utara ,"16,610.8","21,728.7","38,339.4","36,403.9","64,526.9","100,930.8","57,104.9","51,577.0","108,682.0","20,913.1","74,068.7","94,981.8","26,808.0","38,386.2","65,194.2","43,031.6","26,552.9","69,584.6","2,792.7","7,867.8","10,660.5","8,150.0","12,774.0","20,924.0","5,574.1","8,184.7","13,758.8"
Sulawesi Utara,"2,249.8","1,528.3","3,778.1",795.1,512.5,"1,307.5","1,838.6",514.0,"2,352.6",440.9,164.5,605.3,"3,135.0",767.6,"3,902.6",213.0,47.8,260.8,231.8,167.6,399.4,59.0,49.0,108.0,295.2,89.4,384.6
Sulawesi Tengah,"1,880.1","2,833.9","4,714.0","10,546.3","10,829.9","21,376.3","16,045.5","10,043.2","26,088.6","15,679.3","28,844.7","44,523.9","11,522.7","10,424.6","21,947.3","2,292.4","1,499.4","3,791.8","5,270.8","4,232.3","9,503.1","1,554.0",837.0,"2,391.0","3,490.4","2,270.1","5,760.5"
Sulawesi Selatan,"2,461.6",892.3,"3,354.0","8,765.8","1,580.8","10,346.6","24,738.8","5,198.5","29,937.2","7,070.3","2,203.8","9,274.1","2,528.3","1,070.0","3,598.2","1,387.7",628.0,"2,015.7",386.5,532.6,919.1,68.0,76.0,144.0,840.9,239.3,"1,080.2"
Sulawesi Tenggara,"1,485.0",883.3,"2,368.3","5,475.4","1,641.2","7,116.7","12,399.0","2,966.1","15,365.2","13,302.5","1,653.8","14,956.3","20,382.1","10,451.8","30,834.0","4,544.1","2,013.1","6,557.2","2,794.5",389.9,"3,184.4","3,400.0",788.0,"4,188.0","2,700.7",916.6,"3,617.3"
Gorontalo,"2,228.0",358.0,"2,586.1","13,146.6","1,704.8","14,851.4","2,074.8",167.7,"2,242.5","-1,169.5","1,144.9",-24.6,-837.0,497.4,-339.6,261.3,116.8,378.1,737.1,330.8,"1,067.9",405.0,107.0,512.0,254.3,83.2,337.5
Sulawesi Barat,428.5,500.6,929.0,"1,772.0",565.5,"2,337.5","7,289.5","2,235.2","9,524.7",836.2,576.8,"1,413.0",566.4,361.4,927.8,-229.2,0.4,-228.8,204.7,11.0,215.7,"3,605.0",86.0,"3,691.0",329.8,75.9,405.7
Maluku,589.5,322.7,912.2,"2,870.2","2,063.2","4,933.5","6,803.9",96.5,"6,900.5","-1,128.9","2,539.3","1,410.5","2,967.5",749.4,"3,716.9","1,214.7",57.2,"1,271.8","8,534.0",733.4,"9,267.4","1,209.0",85.0,"1,294.0","1,412.7",50.5,"1,463.2"
Maluku Utara,168.4,"1,400.7","1,569.1","10,321.6","1,629.9","11,951.5","22,730.5","3,061.7","25,792.2","17,732.6","4,300.7","22,033.2","8,903.0","2,917.2","11,820.2","1,780.7",546.2,"2,326.8","1,506.8",103.0,"1,609.8",903.0,61.0,964.0,"2,318.8",346.9,"2,665.7"
Papua Barat,"1,400.1",448.8,"1,848.9","2,696.0","9,611.7","12,307.7","6,101.6","4,119.5","10,221.1","21,081.2","10,147.5","31,228.7","-1,683.9",314.4,"-1,369.5","1,855.3","3,440.8","5,296.1",413.5,"1,494.9","1,908.4",603.0,"1,427.0","2,030.0",-74.8,334.0,259.2
Papua,"11,472.4","8,970.6","20,443.1","34,159.7","33,698.2","67,857.9","2,117.2","4,612.4","6,729.6",554.5,"16,704.6","17,259.1","32,846.1","45,941.3","78,787.4","6,468.1","4,744.1","11,212.2","1,731.4","4,898.9","6,630.3","1,415.0","2,136.0","3,551.0","2,922.5","1,609.4","4,531.9"
INDONESIA,"292,533.9","104,837.9","397,370.9","815,607.5","276,574.0","1,092,181.5","431,266.3","197,910.6","629,176.9","297,183.2","182,827.6","480,010.8","223,323.9","216,115.2","439,439.1","375,866.7","86,591.8","462,458.5","66,995.7","48,464.1","115,459.8","83,399.3","37,306.5","120,705.8","73,130.1","30,902.4","104,032.5"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ket *: ,"- Hutan  Tanaman berdasarkan penafsiran citra adalah  penutupan lahan  hutan yang merupakan hasil budidaya  manusia, meliputi seluruh  Hutan  Tanaman baik Hutan  Tanaman Industri/IUPHHK-HT maupun Hutan  Tanaman yang merupakan hasil reboisasi/penghijauan yang berada di dalam  maupun di luar kawasan hutan; terlihat  dari citra mempunyai pola tanam yang teratur pada  area datar, sedangkan untuk  daerah bergelombang terlihat  warna  citra yang berbeda dgn lingkungan sekitarnya. Deforestasi  pada  Hutan Tanaman di dalam  kawasan hutan KSA-KPA dan/atau HL , tidak diklasifikasikan sebagai  Hutan  Tanaman Industri/IUPHHK-HT",,,,,,,,,,,,,,,,,,,,,,,,,,
,- Deforesatasi Netto: perubahan/pengurangan luas penutupan lahan dengan kategori berhutan pada kurun waktu tertentu yang diperoleh dari perhitungan luas deforestasi bruto dikurangi dengan luas reforestasi. Angka deforestasi netto bernilai negatif artinya terjadi reforestasi  yang lebih besar dibandingkan deforestasi bruto.,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumber : ,"Buku Deforestasi Indonesia Tahun 2013-2014, 2014-2015, 2015-2016, 2016-2017, 2018-2019, 2019-2020, 2020-2021, 2021-2022 Kementerian Lingkungan Hidup dan Kehutanan (KLHK) dan Buku Statistik KLHK 2018",,,,,,,,,,,,,,,,,,,,,,,,,,
