Angka Deforestasi Netto Indonesia Di Dalam Dan Di Luar Kawasan Hutan Tahun 2013-2022  (Ha/Th),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provinsi, 2013-2014 ,,, 2014-2015 ,,, 2015-2016 ,,, 2016-2017 ,,, 2017-2018 ,,, 2018-2019 ,,, 2019-2020 ,,, 2020-2021 ,,, 2021-2022 ,,
Kepulauan Riau,4.3,0.4,4.6,"1,191.50",130.4,"1,322.00","2,651.40","-1,953.70",697.7,"3,173.70","2,489.20","5,662.80",503.9,-646.4,-142.5,356.7,205.3,562,980.3,334.1,"1,314.40",422,60,482,91.8,298.1,389.9
DKI Jakarta,-,-,-,-,-,-,-,-,-,-,-0.8,-0.8,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
Jawa Barat,"-10,979.50","-3,901.00","-14,880.50","1,750.50","4,309.50","6,060.00",-,-,-,-160.6,-27.4,-188,"2,598.90","3,789.60","6,388.50","3,782.40","1,194.90","4,977.40",0,0,0,339,43,382,102.3,127.9,230.2
Jawa Tengah,-79.2,-15.1,-94.3,"1,589.50","3,641.90","5,231.40",-,-,-,-,-,-,"2,004.70","1,110.80","3,115.60","1,859.60",44.5,"1,904.00",0,0,0,195,12,207,209.9,-585.1,-375.2
DI Yogyakarta,0.9,31.9,32.8,51.8,-,51.8,-,-,-,-163.8,-106.5,-270.2,2.4,587.4,589.8,141.4,185,326.4,0,0,0,0,0,0,12.9,0,12.9
Jawa Timur,"5,452.20","2,044.90","7,497.10","3,621.00","4,128.10","7,749.20",-,-,-,-,-,-,"3,298.60","5,511.70","8,810.30","5,066.40",738.3,"5,804.70",0,0,0,85,58,143,19.4,50.4,69.8
Banten,-237.3,-28.7,-266.1,"1,282.20",529.2,"1,811.50",-,-,-,"-2,534.40","-2,727.70","-5,262.10",-523.6,240.6,-283.1,67.3,16.1,83.4,0,34.3,34.3,275,3,278,3.5,-27.4,-23.9
Bali,110,20.2,130.2,77.5,0,77.5,"4,096.00","3,359.50","7,455.50",-7.4,241.7,234.2,99.5,177.4,276.9,89.3,1.7,91,43.8,1.2,45,46,0,46,51.2,2,53.2
Nusa Tenggara Barat,-,-,-,"8,896.40",186.8,"9,083.20","12,561.90","9,800.50","22,362.40","-8,915.40","-5,887.20","-14,802.70","7,065.60","3,170.70","10,236.40","12,382.40","3,589.40","15,971.90","10,571.90","2,436.00","13,007.90","2,339.00",784,"3,123.00","4,830.40","1,580.80","6,411.20"
Nusa Tenggara Timur,138.9,-30,108.8,"2,962.70","10,969.30","13,932.00",-,-,-,-,-,-,"6,037.10","11,652.90","17,689.90","1,279.20","2,233.60","3,512.80","2,579.30","5,710.20","8,289.50",812,589,"1,401.00","1,656.00","2,288.80","3,944.80"
Kalimantan Barat,"7,872.80","22,046.80","29,919.60","5,754.00","34,723.20","40,477.20","60,146.30","64,809.70","124,956.00","13,274.80","6,022.10","19,296.90","13,157.70","29,133.70","42,291.40","15,109.10","8,985.90","24,095.00","6,546.60","9,787.90","16,334.50","3,305.00","6,790.00","10,095.00","5,128.90","2,716.80","7,845.70"
Kalimantan Tengah,"48,370.70","10,464.90","58,835.60","163,240.00","23,402.00","186,642.00","88,816.20","9,313.00","98,129.20","97,817.00","18,965.80","116,782.80","20,234.70","7,005.60","27,240.30","17,974.30","8,265.80","26,240.20","3,206.40","3,705.90","6,912.30","15,754.00","5,782.00","21,536.00","9,838.20","1,726.20","11,564.40"
Kalimantan Selatan,"5,191.90","1,746.60","6,938.50","34,631.50","12,072.30","46,703.80","26,180.60","6,944.60","33,125.10",661.3,"-1,343.10",-681.8,"5,396.00","8,972.60","14,368.60","6,309.90","1,789.40","8,099.30","5,247.80","2,299.40","7,547.20","1,574.00",455,"2,029.00",636.4,-501.5,134.9
Kalimantan Timur dan Kalimantan Utara ,"16,610.80","21,728.70","38,339.40","36,403.90","64,526.90","100,930.80","57,104.90","51,577.00","108,682.00","20,913.10","74,068.70","94,981.80","26,808.00","38,386.20","65,194.20","43,031.60","26,552.90","69,584.60","2,792.70","7,867.80","10,660.50","8,150.00","12,774.00","20,924.00","5,574.10","8,184.70","13,758.80"
Sulawesi Utara,"2,249.80","1,528.30","3,778.10",795.1,512.5,"1,307.50","1,838.60",514,"2,352.60",440.9,164.5,605.3,"3,135.00",767.6,"3,902.60",213,47.8,260.8,231.8,167.6,399.4,59,49,108,295.2,89.4,384.6
Sulawesi Tengah,"1,880.10","2,833.90","4,714.00","10,546.30","10,829.90","21,376.30","16,045.50","10,043.20","26,088.60","15,679.30","28,844.70","44,523.90","11,522.70","10,424.60","21,947.30","2,292.40","1,499.40","3,791.80","5,270.80","4,232.30","9,503.10","1,554.00",837,"2,391.00","3,490.40","2,270.10","5,760.50"
Sulawesi Selatan,"2,461.60",892.3,"3,354.00","8,765.80","1,580.80","10,346.60","24,738.80","5,198.50","29,937.20","7,070.30","2,203.80","9,274.10","2,528.30","1,070.00","3,598.20","1,387.70",628,"2,015.70",386.5,532.6,919.1,68,76,144,840.9,239.3,"1,080.20"
Sulawesi Tenggara,"1,485.00",883.3,"2,368.30","5,475.40","1,641.20","7,116.70","12,399.00","2,966.10","15,365.20","13,302.50","1,653.80","14,956.30","20,382.10","10,451.80","30,834.00","4,544.10","2,013.10","6,557.20","2,794.50",389.9,"3,184.40","3,400.00",788,"4,188.00","2,700.70",916.6,"3,617.30"
Gorontalo,"2,228.00",358,"2,586.10","13,146.60","1,704.80","14,851.40","2,074.80",167.7,"2,242.50","-1,169.50","1,144.90",-24.6,-837,497.4,-339.6,261.3,116.8,378.1,737.1,330.8,"1,067.90",405,107,512,254.3,83.2,337.5
Sulawesi Barat,428.5,500.6,929,"1,772.00",565.5,"2,337.50","7,289.50","2,235.20","9,524.70",836.2,576.8,"1,413.00",566.4,361.4,927.8,-229.2,0.4,-228.8,204.7,11,215.7,"3,605.00",86,"3,691.00",329.8,75.9,405.7
Maluku,589.5,322.7,912.2,"2,870.20","2,063.20","4,933.50","6,803.90",96.5,"6,900.50","-1,128.90","2,539.30","1,410.50","2,967.50",749.4,"3,716.90","1,214.70",57.2,"1,271.80","8,534.00",733.4,"9,267.40","1,209.00",85,"1,294.00","1,412.70",50.5,"1,463.20"
Maluku Utara,168.4,"1,400.70","1,569.10","10,321.60","1,629.90","11,951.50","22,730.50","3,061.70","25,792.20","17,732.60","4,300.70","22,033.20","8,903.00","2,917.20","11,820.20","1,780.70",546.2,"2,326.80","1,506.80",103,"1,609.80",903,61,964,"2,318.80",346.9,"2,665.70"
Papua Barat,"1,400.10",448.8,"1,848.90","2,696.00","9,611.70","12,307.70","6,101.60","4,119.50","10,221.10","21,081.20","10,147.50","31,228.70","-1,683.90",314.4,"-1,369.50","1,855.30","3,440.80","5,296.10",413.5,"1,494.90","1,908.40",603,"1,427.00","2,030.00",-74.8,334,259.2
Papua,"11,472.40","8,970.60","20,443.10","34,159.70","33,698.20","67,857.90","2,117.20","4,612.40","6,729.60",554.5,"16,704.60","17,259.10","32,846.10","45,941.30","78,787.40","6,468.10","4,744.10","11,212.20","1,731.40","4,898.90","6,630.30","1,415.00","2,136.00","3,551.00","2,922.50","1,609.40","4,531.90"
